,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,Dandelions,"Ruth B.",50078,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
57,"No Role Modelz","J. Cole",49949,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
58,"Dark Red","Steve Lacy",49685,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
59,"My Universe",Coldplay,49678,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
60,"'Till I Collapse",Eminem,49058,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
61,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",48988,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
62,"MONTERO (Call Me By Your Name)","Lil Nas X",48405,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
63,"family ties (with Kendrick Lamar)","Baby Keem",47679,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
64,"love nwantiti (ah ah ah)",CKay,46979,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
65,"TO THE MOON","Jnr Choi",46809,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
66,Notion,"The Rare Occasions",45877,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
67,traitor,"Olivia Rodrigo",45837,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
68,Beggin',Måneskin,45814,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
69,"What Else Can I Do?","Diane Guerrero",45600,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
70,"All For Us - from the HBO Original Series Euphoria",Labrinth,45314,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
71,"Way 2 Sexy (with Future & Young Thug)",Drake,45066,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
72,Sacrifice,"The Weeknd",44961,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
73,"Someone You Loved","Lewis Capaldi",44891,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
74,RAPSTAR,"Polo G",44878,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
75,"drivers license","Olivia Rodrigo",44747,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44627,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,High,"The Chainsmokers",44342,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
78,"Happier Than Ever","Billie Eilish",43920,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
79,Toxic,BoyWithUke,43818,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
80,"Meet Me At Our Spot","THE ANXIETY",43719,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
81,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",43630,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
82,"P power (feat. Drake)",Gunna,43527,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
83,"Fair Trade (with Travis Scott)",Drake,43043,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
84,505,"Arctic Monkeys",42858,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
85,"Do We Have A Problem?","Nicki Minaj",42790,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
86,"Mood (feat. iann dior)",24kGoldn,42547,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
87,Heartless,"Kanye West",42410,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
88,Formula,Labrinth,42364,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
